# Pathway	W10	W100	W105	W111	W113	W117	W12	W123	W128	W139	W149	W154	W157	W16	W164	W169	W173	W183	W189	W193	W196	W209	W21	W215	W226	W231	W234	W250	W26	W28	W32	W38	W4	W43	W48	W53	W64	W69	W74	W79	W85	W89	W91
ko00312|g__Clostridium.s__Clostridium_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7902500000	3.4395000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00312|g__Clostridium.s__Clostridium_saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6547500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00312|g__Clostridium.s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8920000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00312|unclassified	43.1440000000	48.2770000000	34.8502500000	18.2802500000	54.6037500000	21.9725000000	31.0282500000	26.5755000000	41.3597500000	31.1342500000	20.6542500000	31.5677500000	27.8330000000	45.8920000000	27.3127500000	53.4440000000	86.5835000000	32.1875000000	44.4165000000	30.5120000000	50.3817500000	111.1625000000	35.3412500000	13.0245000000	28.7655000000	29.8362500000	17.3602500000	24.0940000000	19.7982500000	27.2185000000	33.8980000000	72.8962500000	25.1937500000	21.3970000000	52.5907500000	18.5780000000	38.4150000000	50.4350000000	51.9572500000	26.0472500000	39.6340000000	14.7327500000	29.4512500000
ko00330	1056.1521746032	2111.5857301587	1166.7804761905	1028.9862063492	2382.2222222222	902.3765873016	1204.5137936508	1118.6215873016	1240.2985079365	853.3335079365	1368.2448571429	883.7992222222	1071.4305396825	906.2181428571	1132.9380317460	1452.0016507937	1422.9486984127	1180.1682380952	1185.8371904762	893.7249365079	1081.1550476190	2524.0541428571	1019.4551904762	998.8143333333	1114.9603015873	821.5287619048	875.5318095238	741.5223333333	1086.5276507937	1024.6207142857	1299.3917301587	1928.1291746032	939.1567936508	901.0494603175	1226.6443174603	856.0243174603	1429.4271269841	1114.3030793651	1515.9199682540	841.0555396825	1240.9997301587	769.5393968254	1040.0786666667
ko00330|g__Achromobacter.s__Achromobacter_piechaudii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5505714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5198253968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Acidovorax.s__Acidovorax_ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9678412698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0851428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2509047619	0	0	0	0	0	0	0	0	0	0.1698730159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Agrobacterium.s__Agrobacterium_tumefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2981111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0.0088730159	0	0	0	0.0375396825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0218888889	0	0	0	0	0	0
ko00330|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9704285714	7.4947619048	0	0	1.7653809524	0	0	0	0	0	0	0	0
ko00330|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0.1078253968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1590952381	0	0	0	0	0	0
ko00330|g__Allochromatium.s__Allochromatium_vinosum	0	0	0	0	0	0	0	0.4768888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Anaeromyxobacter.s__Anaeromyxobacter_dehalogenans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.6027777778	9.6375079365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Azoarcus.s__Azoarcus_toluclasticus	0	0	0	0	0	0	1.3551111111	0	0	0	0	0	0	0	7.1480634921	5.6939047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Bacillus.s__Bacillus_cereus_thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5257142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Bacillus.s__Bacillus_megaterium	0	0	0.7079682540	0	0.6475555556	0	1.4452380952	0	0	0	0	0	0	0.4831111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5940952381	0	0
ko00330|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	0.0630158730	0	0	0	0	0	0	0	0.1999523810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0586507937	0	0	0	0	0
ko00330|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1198888889	0	0	0	0
ko00330|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9197301587
ko00330|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	6.6075396825	0	0	0	0	0	0	10.4501269841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6403809524	14.4021428571	0	13.7148730159
ko00330|g__Candidatus_Accumulibacter.s__Candidatus_Accumulibacter_phosphatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5532380952	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7872539683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6506666667	0
ko00330|g__Caulobacter.s__Caulobacter_vibrioides	0.3787301587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6744761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5748412698	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Chlorobium.s__Chlorobium_limicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1754444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Clostridium.s__Clostridium_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7108730159	3.0910317460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Clostridium.s__Clostridium_carboxidivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6114920635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Clostridium.s__Clostridium_saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3634444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Clostridium.s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4808888889	0.2408253968	0.2658253968	5.2176825397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Clostridium.s__Clostridium_symbiosum	0	0	0	0	0	0	0	0	0.0160634921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Comamonas.s__Comamonas_testosteroni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3140634921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Corallococcus.s__Corallococcus_coralloides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9254603175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Cyanobium.s__Cyanobium_gracile	0	0	0	0	0	0	0	3.1795396825	0	0	0	1.1290952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Dechloromonas.s__Dechloromonas_aromatica	8.8627142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Delftia.s__Delftia_acidovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1675238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Desulfococcus.s__Desulfococcus_oleovorans	0	0	0	0	0	0	0	0.4858888889	0	0	0	0.2628888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Desulfomicrobium.s__Desulfomicrobium_baculatum	0	0	0	0	0	0	0	0.6342380952	0.4490000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7976984127	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Desulfomonile.s__Desulfomonile_tiedjei	0	0	0	0	0	0	0	0	0.1396507937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2690476190	0	0	0	0	0	0	0	0
ko00330|g__Desulfovibrio.s__Desulfovibrio_africanus	0	0	0.1027936508	0	0	0	0	0	4.7461904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Desulfovibrio.s__Desulfovibrio_magneticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2236666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Dyella.s__Dyella_ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8354126984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6416507937	0	0	0	0	0	0	0	0	0	0	0	0.8421587302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Exiguobacterium.s__Exiguobacterium_antarcticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3170317460	0	0	0	0
ko00330|g__Exiguobacterium.s__Exiguobacterium_pavilionensis	0.2830952381	0	1.1522698413	0	2.5884761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2993333333	0	0	0	0.0856190476	0	0	0	0	0	5.3040634921	0	0	0	0
ko00330|g__Exiguobacterium.s__Exiguobacterium_sibiricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4093968254	4.0782380952	0	0	0	0
ko00330|g__Exiguobacterium.s__Exiguobacterium_sp_AT1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6509523810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Exiguobacterium.s__Exiguobacterium_sp_MH3	0	0	0	0	0	0	17.7863968254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Geobacter.s__Geobacter_lovleyi	0.6313333333	0	0.1936984127	0	0	0	0.7642698413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Geobacter.s__Geobacter_metallireducens	0.9898095238	0	0	0	0	0	1.2736507937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Geobacter.s__Geobacter_uraniireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0413809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Geodermatophilus.s__Geodermatophilus_obscurus	0	0	8.8350317460	0	12.4587301587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Haliscomenobacter.s__Haliscomenobacter_hydrossis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2090634921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Halomonas.s__Halomonas_boliviensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2796984127	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Hyphomicrobium.s__Hyphomicrobium_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8408253968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Hyphomonas.s__Hyphomonas_neptunium	0	0	0	0	0	0	0	0	0.2067777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Intrasporangium.s__Intrasporangium_calvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3535714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Kangiella.s__Kangiella_aquimarina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1116666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4548095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Lactococcus.s__Lactococcus_garvieae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146825397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3640634921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	0	0	0	0	0	0	0	1.6901904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	3.4649365079	0	2.8747460317	0	0	0	0	0	0	2.2185079365	0	7.5009047619	0	0	0	0	0	0	0	0	0	0	3.1165714286	0	0	0	0	0	0	0	0	0	5.0786190476	0	0	3.9727619048	5.5230634921	0	7.3843809524
ko00330|g__Methanocella.s__Methanocella_paludicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6960793651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6034761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Methanolobus.s__Methanolobus_psychrophilus	0	0	0	0	0	0	0	0.1155714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Methanosaeta.s__Methanosaeta_concilii	2.2872222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Methanosaeta.s__Methanosaeta_harundinacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3566825397	0	0.2948888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8639206349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Methanosarcina.s__Methanosarcina_barkeri	0	1.8626031746	0	0	1.5174603175	0	0	0	0	0.8193015873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Methanospirillum.s__Methanospirillum_hungatei	0.0551746032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Methylocystis.s__Methylocystis_rosea	0	0	0	0	0	0	0	0	0	0	1.1206031746	0	0	0	0	0	0	0	0	0	0	0.9218571429	0	0	0	0	0	0	0	0	0.3687777778	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Microcoleus.s__Microcoleus_vaginatus	0	0.6580634921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2766349206	0	0	0	0
ko00330|g__Microcystis.s__Microcystis_aeruginosa	0.5599206349	0	0	0	0	0	3.0724285714	0	0	0	0	0	1.4181428571	4.5584285714	2.8558571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Micromonospora.s__Micromonospora_lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3128888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Mycobacterium.s__Mycobacterium_tusciae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9478888889	0	0	0	0	0	0	0	0	0
ko00330|g__Mycobacterium.s__Mycobacterium_vaccae	0	0	0	0	2.1292539683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1194126984	0	0	0	0	0	0
ko00330|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4512063492
ko00330|g__Nitrospira.s__Candidatus_Nitrospira_defluvii	0.6499206349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2552063492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Nodularia.s__Nodularia_spumigena	0	0	0	0	0	0	0	0.1916666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Nostoc.s__Nostoc_punctiforme	0	0	1.0964920635	0	0	0	0	0	0	0	0	0	0	2.1539206349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Novosphingobium.s__Novosphingobium_aromaticivorans	0	0	0	0	0	0	0	0	0	0	0.2819841270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Oscillatoria.s__Oscillatoria_acuminata	0	3.6463492063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1421746032	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Oscillatoria.s__Oscillatoria_nigro_viridis	0	0.8742063492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1802380952	0	0	0	0
ko00330|g__Peptostreptococcaceae_noname.s__Clostridium_sticklandii	0.0461904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2852063492	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Planctomyces.s__Planctomyces_limnophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2388095238	0	0	0	0
ko00330|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.6012857143	8.4168253968	0	0	0	0	6.2728730159	0	0	0	0	0	0
ko00330|g__Pseudomonas.s__Pseudomonas_mandelii	0	0	0	0	0	0	0	0	7.3352222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9098412698	0	1.7269523810	0	3.4784285714	0	0	0	0	0	0	0	4.0946825397	0	0	0	0
ko00330|g__Pseudomonas.s__Pseudomonas_putida	1.5551746032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0692380952	0	0	0	0	0	0	0	0	0	0	0	1.6993492063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Pseudomonas.s__Pseudomonas_stutzeri	0	1.8496666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8039206349	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Psychrobacter.s__Psychrobacter_aquaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6800000000	0	0	0	0	0
ko00330|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1487619048	0	1.4715873016	0	0	0	0	0
ko00330|g__Psychrobacter.s__Psychrobacter_cryohalolentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1650476190	0	2.3673333333	0	0	0	0	0
ko00330|g__Rhizobium.s__Rhizobium_leguminosarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7291587302	1.4604126984	0	0
ko00330|g__Rhodanobacter.s__Rhodanobacter_thiooxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.3679365079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Rhodococcus.s__Rhodococcus_erythropolis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1086031746	0	0.2586507937
ko00330|g__Rhodonellum.s__Rhodonellum_psychrophilum	0	0.0516190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1795714286	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	2.7611111111	0	6.0818730159	0	7.7156825397	0	3.0311111111	0	3.3159523810	2.9030158730	2.8266349206	0	2.4238571429	4.0485555556	4.8605238095	6.8824285714	20.4693492063	0	0	0	0	11.1385079365	6.1733809524	11.4609682540	11.2277619048	0	8.1236031746	0	0	0	8.1794920635	3.9543968254	0	3.3308253968	3.9447460317	0	5.9288571429	0	5.4255873016	3.3449365079	6.5548888889	5.8186984127	9.4391746032
ko00330|g__Sideroxydans.s__Sideroxydans_lithotrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1607301587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Sorangium.s__Sorangium_cellulosum	0	1.1394126984	0.5459365079	0.4482063492	4.4457777778	0	0.3244920635	0	0.6391746032	0.3336666667	0.4983015873	0	0	0	0	0	0	0	0	0	0	0	0.3240158730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7916984127	1.1362380952	1.1384444444	0	0
ko00330|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6787936508	3.1840952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Streptomyces.s__Streptomyces_chartreusis	0	0	2.6454285714	0	2.5507301587	0	1.4806825397	0	0	0	0	0	0	0	0.8624761905	0	0	0	0	0	0	0	0.9795555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4492539683	2.5585238095	0	0
ko00330|g__Sulfuricella.s__Sulfuricella_denitrificans	0	0	0	0	0	0	0	0	0	0.5449841270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3597936508	1.2493650794	0	0	0	0	0	0	0	0	0	0
ko00330|g__Sulfuricurvum.s__Sulfuricurvum_kujiense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1409523810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00330|g__Thalassiosira.s__Thalassiosira_pseudonana	0	0	0	0	0	0	0	0	0.0289841270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
